# wl flux eflux
5.858044742325013203e+02 3.630821745428512437e-01 6.760748302502239682e-02
5.858070721950386996e+02 4.724372514117164412e-01 8.196459543884154764e-02
5.858096698552016051e+02 4.386715120519455446e-01 6.724938867303778545e-02
5.858122672131167974e+02 4.056498639618070778e-01 7.992805834010144328e-02
5.858148642689113785e+02 3.814642539893398632e-01 6.641742698336339235e-02
5.858174610227122230e+02 4.214489715735885711e-01 6.624552403075512075e-02
5.858200574746462053e+02 4.097137832624099807e-01 6.445977645906171560e-02
5.858226536248403136e+02 3.732391472738182392e-01 8.084523697130516218e-02
5.858252494734219908e+02 3.347165020475980635e-01 6.578539684688405886e-02
5.858278450205177705e+02 3.694633053969759717e-01 6.701916635834671843e-02
5.858304402662547545e+02 3.507935121987799110e-01 6.987342012113030576e-02
5.858330352107599310e+02 3.177658919824745687e-01 6.599715163165764675e-02
